************* START OF RANDOM TEST FOR smithy card *************

Test#0 Expected 6 handcount, found 5 handcount
Test#1202 Expected 9 handcount, found 8 handcount
Test#1203 Expected 10 handcount, found 9 handcount
Test#1204 Expected 11 handcount, found 10 handcount
Test#1205 Expected 4 handcount, found 3 handcount
Test#1206 Expected 4 handcount, found 3 handcount
Test#1207 Expected 10 handcount, found 9 handcount
Test#1208 Expected 8 handcount, found 7 handcount
Test#1209 Expected 7 handcount, found 6 handcount
Test#1210 Expected 333 handcount, found 332 handcount
Test#1211 Expected 10 handcount, found 9 handcount
Test#1212 Expected 4 handcount, found 3 handcount
Test#1213 Expected 163 handcount, found 162 handcount
Test#1214 Expected 126 handcount, found 125 handcount
Test#1215 Expected 326 handcount, found 325 handcount
Test#1216 Expected 12 handcount, found 11 handcount
Test#1217 Expected 9 handcount, found 8 handcount
Test#1218 Expected 10 handcount, found 9 handcount
Test#1219 Expected 11 handcount, found 10 handcount
Test#1220 Expected 4 handcount, found 3 handcount
Test#1221 Expected 4 handcount, found 3 handcount
Test#1222 Expected 10 handcount, found 9 handcount
Test#1223 Expected 8 handcount, found 7 handcount
Test#1224 Expected 7 handcount, found 6 handcount
Test#1225 Expected 333 handcount, found 332 handcount
Test#1226 Expected 10 handcount, found 9 handcount
Test#1227 Expected 4 handcount, found 3 handcount
Test#1228 Expected 163 handcount, found 162 handcount
Test#1229 Expected 126 handcount, found 125 handcount
Test#1230 Expected 326 handcount, found 325 handcount
Test#1231 Expected 12 handcount, found 11 handcount
Test#1232 Expected 9 handcount, found 8 handcount
Test#1233 Expected 10 handcount, found 9 handcount
Test#1234 Expected 11 handcount, found 10 handcount
Test#1235 Expected 4 handcount, found 3 handcount
Test#1236 Expected 4 handcount, found 3 handcount
Test#1237 Expected 10 handcount, found 9 handcount
Test#1238 Expected 8 handcount, found 7 handcount
Test#1239 Expected 7 handcount, found 6 handcount
Test#1240 Expected 333 handcount, found 332 handcount
Test#1241 Expected 10 handcount, found 9 handcount
Test#1242 Expected 4 handcount, found 3 handcount
Test#1243 Expected 163 handcount, found 162 handcount
Test#1244 Expected 126 handcount, found 125 handcount
Test#1245 Expected 326 handcount, found 325 handcount
Test#1246 Expected 12 handcount, found 11 handcount
Test#1247 Expected 9 handcount, found 8 handcount
Test#1248 Expected 10 handcount, found 9 handcount
Test#1249 Expected 11 handcount, found 10 handcount
Test#1250 Expected 4 handcount, found 3 handcount
Test#1251 Expected 4 handcount, found 3 handcount
Test#1252 Expected 10 handcount, found 9 handcount
Test#1253 Expected 8 handcount, found 7 handcount
Test#1254 Expected 7 handcount, found 6 handcount
Test#1255 Expected 333 handcount, found 332 handcount
Test#1256 Expected 10 handcount, found 9 handcount
Test#1257 Expected 4 handcount, found 3 handcount
Test#1258 Expected 163 handcount, found 162 handcount
Test#1259 Expected 126 handcount, found 125 handcount
Test#1260 Expected 326 handcount, found 325 handcount
Test#1261 Expected 12 handcount, found 11 handcount
Test#1262 Expected 9 handcount, found 8 handcount
Test#1263 Expected 10 handcount, found 9 handcount
Test#1264 Expected 11 handcount, found 10 handcount
Test#1265 Expected 4 handcount, found 3 handcount
Test#1266 Expected 4 handcount, found 3 handcount
Test#1267 Expected 10 handcount, found 9 handcount
Test#1268 Expected 8 handcount, found 7 handcount
Test#1269 Expected 7 handcount, found 6 handcount
Test#1270 Expected 333 handcount, found 332 handcount
Test#1271 Expected 10 handcount, found 9 handcount
Test#1272 Expected 4 handcount, found 3 handcount
Test#1273 Expected 163 handcount, found 162 handcount
Test#1274 Expected 126 handcount, found 125 handcount
Test#1275 Expected 326 handcount, found 325 handcount
Test#1276 Expected 12 handcount, found 11 handcount
Test#1277 Expected 9 handcount, found 8 handcount
Test#1278 Expected 10 handcount, found 9 handcount
Test#1279 Expected 11 handcount, found 10 handcount
Test#1280 Expected 4 handcount, found 3 handcount
Test#1281 Expected 4 handcount, found 3 handcount
Test#1282 Expected 10 handcount, found 9 handcount
Test#1283 Expected 8 handcount, found 7 handcount
Test#1284 Expected 7 handcount, found 6 handcount
Test#1285 Expected 333 handcount, found 332 handcount
Test#1286 Expected 10 handcount, found 9 handcount
Test#1287 Expected 4 handcount, found 3 handcount
Test#1288 Expected 163 handcount, found 162 handcount
Test#1289 Expected 126 handcount, found 125 handcount
Test#1290 Expected 326 handcount, found 325 handcount
Test#1291 Expected 12 handcount, found 11 handcount
Test#1292 Expected 9 handcount, found 8 handcount
Test#1293 Expected 10 handcount, found 9 handcount
Test#1294 Expected 11 handcount, found 10 handcount
Test#1295 Expected 4 handcount, found 3 handcount
Test#1296 Expected 4 handcount, found 3 handcount
Test#1297 Expected 10 handcount, found 9 handcount
Test#1298 Expected 8 handcount, found 7 handcount
Test#1299 Expected 7 handcount, found 6 handcount
Test#1300 Expected 333 handcount, found 332 handcount
Test#1301 Expected 10 handcount, found 9 handcount
Test#1302 Expected 4 handcount, found 3 handcount
Test#1303 Expected 163 handcount, found 162 handcount
Test#1304 Expected 126 handcount, found 125 handcount
Test#1305 Expected 326 handcount, found 325 handcount
Test#1306 Expected 12 handcount, found 11 handcount
Test#1307 Expected 9 handcount, found 8 handcount
Test#1308 Expected 10 handcount, found 9 handcount
Test#1309 Expected 11 handcount, found 10 handcount
Test#1310 Expected 4 handcount, found 3 handcount
Test#1311 Expected 4 handcount, found 3 handcount
Test#1312 Expected 10 handcount, found 9 handcount
Test#1313 Expected 8 handcount, found 7 handcount
Test#1314 Expected 7 handcount, found 6 handcount
Test#1315 Expected 333 handcount, found 332 handcount
Test#1316 Expected 10 handcount, found 9 handcount
Test#1317 Expected 4 handcount, found 3 handcount
Test#1318 Expected 163 handcount, found 162 handcount
Test#1319 Expected 126 handcount, found 125 handcount
Test#1320 Expected 326 handcount, found 325 handcount
Test#1321 Expected 12 handcount, found 11 handcount
Test#1322 Expected 9 handcount, found 8 handcount
Test#1323 Expected 10 handcount, found 9 handcount
Test#1324 Expected 11 handcount, found 10 handcount
Test#1325 Expected 4 handcount, found 3 handcount
Test#1326 Expected 4 handcount, found 3 handcount
Test#1327 Expected 10 handcount, found 9 handcount
Test#1328 Expected 8 handcount, found 7 handcount
Test#1329 Expected 7 handcount, found 6 handcount
Test#1330 Expected 333 handcount, found 332 handcount
Test#1331 Expected 10 handcount, found 9 handcount
Test#1332 Expected 4 handcount, found 3 handcount
Test#1333 Expected 163 handcount, found 162 handcount
Test#1334 Expected 126 handcount, found 125 handcount
Test#1335 Expected 326 handcount, found 325 handcount
Test#1336 Expected 12 handcount, found 11 handcount
Test#1337 Expected 9 handcount, found 8 handcount
Test#1338 Expected 10 handcount, found 9 handcount
Test#1339 Expected 11 handcount, found 10 handcount
Test#1340 Expected 4 handcount, found 3 handcount
Test#1341 Expected 4 handcount, found 3 handcount
Test#1342 Expected 10 handcount, found 9 handcount
Test#1343 Expected 8 handcount, found 7 handcount
Test#1344 Expected 7 handcount, found 6 handcount
Test#1345 Expected 333 handcount, found 332 handcount
Test#1346 Expected 10 handcount, found 9 handcount
Test#1347 Expected 4 handcount, found 3 handcount
Test#1348 Expected 163 handcount, found 162 handcount
Test#1349 Expected 126 handcount, found 125 handcount
Test#1350 Expected 326 handcount, found 325 handcount
Test#1351 Expected 12 handcount, found 11 handcount
Test#1352 Expected 9 handcount, found 8 handcount
Test#1353 Expected 10 handcount, found 9 handcount
Test#1354 Expected 11 handcount, found 10 handcount
Test#1355 Expected 4 handcount, found 3 handcount
Test#1356 Expected 4 handcount, found 3 handcount
Test#1357 Expected 10 handcount, found 9 handcount
Test#1358 Expected 8 handcount, found 7 handcount
Test#1359 Expected 7 handcount, found 6 handcount
Test#1360 Expected 333 handcount, found 332 handcount
Test#1361 Expected 10 handcount, found 9 handcount
Test#1362 Expected 4 handcount, found 3 handcount
Test#1363 Expected 163 handcount, found 162 handcount
Test#1364 Expected 126 handcount, found 125 handcount
Test#1365 Expected 326 handcount, found 325 handcount
Test#1366 Expected 12 handcount, found 11 handcount
Test#1367 Expected 9 handcount, found 8 handcount
Test#1368 Expected 10 handcount, found 9 handcount
Test#1369 Expected 11 handcount, found 10 handcount
Test#1370 Expected 4 handcount, found 3 handcount
Test#1371 Expected 4 handcount, found 3 handcount
Test#1372 Expected 10 handcount, found 9 handcount
Test#1373 Expected 8 handcount, found 7 handcount
Test#1374 Expected 7 handcount, found 6 handcount
Test#1375 Expected 333 handcount, found 332 handcount
Test#1376 Expected 10 handcount, found 9 handcount
Test#1377 Expected 4 handcount, found 3 handcount
Test#1378 Expected 163 handcount, found 162 handcount
Test#1379 Expected 126 handcount, found 125 handcount
Test#1380 Expected 326 handcount, found 325 handcount
Test#1381 Expected 12 handcount, found 11 handcount
Test#1382 Expected 9 handcount, found 8 handcount
Test#1383 Expected 10 handcount, found 9 handcount
Test#1384 Expected 11 handcount, found 10 handcount
Test#1385 Expected 4 handcount, found 3 handcount
Test#1386 Expected 4 handcount, found 3 handcount
Test#1387 Expected 10 handcount, found 9 handcount
Test#1388 Expected 8 handcount, found 7 handcount
Test#1389 Expected 7 handcount, found 6 handcount
Test#1390 Expected 333 handcount, found 332 handcount
Test#1391 Expected 10 handcount, found 9 handcount
Test#1392 Expected 4 handcount, found 3 handcount
Test#1393 Expected 163 handcount, found 162 handcount
Test#1394 Expected 126 handcount, found 125 handcount
Test#1395 Expected 326 handcount, found 325 handcount
Test#1396 Expected 12 handcount, found 11 handcount
Test#1397 Expected 9 handcount, found 8 handcount
Test#1398 Expected 10 handcount, found 9 handcount
Test#1399 Expected 11 handcount, found 10 handcount
Test#1400 Expected 4 handcount, found 3 handcount
Test#1401 Expected 4 handcount, found 3 handcount
Test#1402 Expected 10 handcount, found 9 handcount
Test#1403 Expected 8 handcount, found 7 handcount
Test#1404 Expected 7 handcount, found 6 handcount
Test#1405 Expected 333 handcount, found 332 handcount
Test#1406 Expected 10 handcount, found 9 handcount
Test#1407 Expected 4 handcount, found 3 handcount
Test#1408 Expected 163 handcount, found 162 handcount
Test#1409 Expected 126 handcount, found 125 handcount
Test#1410 Expected 326 handcount, found 325 handcount
Test#1411 Expected 12 handcount, found 11 handcount
Test#1412 Expected 9 handcount, found 8 handcount
Test#1413 Expected 10 handcount, found 9 handcount
Test#1414 Expected 11 handcount, found 10 handcount
Test#1415 Expected 4 handcount, found 3 handcount
Test#1416 Expected 4 handcount, found 3 handcount
Test#1417 Expected 10 handcount, found 9 handcount
Test#1418 Expected 8 handcount, found 7 handcount
Test#1419 Expected 7 handcount, found 6 handcount
Test#1420 Expected 333 handcount, found 332 handcount
Test#1421 Expected 10 handcount, found 9 handcount
Test#1422 Expected 4 handcount, found 3 handcount
Test#1423 Expected 163 handcount, found 162 handcount
Test#1424 Expected 126 handcount, found 125 handcount
Test#1425 Expected 326 handcount, found 325 handcount
Test#1426 Expected 12 handcount, found 11 handcount
Test#1427 Expected 9 handcount, found 8 handcount
Test#1428 Expected 10 handcount, found 9 handcount
Test#1429 Expected 11 handcount, found 10 handcount
Test#1430 Expected 4 handcount, found 3 handcount
Test#1431 Expected 4 handcount, found 3 handcount
Test#1432 Expected 10 handcount, found 9 handcount
Test#1433 Expected 8 handcount, found 7 handcount
Test#1434 Expected 7 handcount, found 6 handcount
Test#1435 Expected 333 handcount, found 332 handcount
Test#1436 Expected 10 handcount, found 9 handcount
Test#1437 Expected 4 handcount, found 3 handcount
Test#1438 Expected 163 handcount, found 162 handcount
Test#1439 Expected 126 handcount, found 125 handcount
Test#1440 Expected 326 handcount, found 325 handcount
Test#1441 Expected 12 handcount, found 11 handcount
Test#1442 Expected 9 handcount, found 8 handcount
Test#1443 Expected 10 handcount, found 9 handcount
Test#1444 Expected 11 handcount, found 10 handcount
Test#1445 Expected 4 handcount, found 3 handcount
Test#1446 Expected 4 handcount, found 3 handcount
Test#1447 Expected 10 handcount, found 9 handcount
Test#1448 Expected 8 handcount, found 7 handcount
Test#1449 Expected 7 handcount, found 6 handcount
Test#1450 Expected 333 handcount, found 332 handcount
Test#1451 Expected 10 handcount, found 9 handcount
Test#1452 Expected 4 handcount, found 3 handcount
Test#1453 Expected 163 handcount, found 162 handcount
Test#1454 Expected 126 handcount, found 125 handcount
Test#1455 Expected 326 handcount, found 325 handcount
Test#1456 Expected 12 handcount, found 11 handcount
Test#1457 Expected 9 handcount, found 8 handcount
Test#1458 Expected 10 handcount, found 9 handcount
Test#1459 Expected 11 handcount, found 10 handcount
Test#1460 Expected 4 handcount, found 3 handcount
Test#1461 Expected 4 handcount, found 3 handcount
Test#1462 Expected 10 handcount, found 9 handcount
Test#1463 Expected 8 handcount, found 7 handcount
Test#1464 Expected 7 handcount, found 6 handcount
Test#1465 Expected 333 handcount, found 332 handcount
Test#1466 Expected 10 handcount, found 9 handcount
Test#1467 Expected 4 handcount, found 3 handcount
Test#1468 Expected 163 handcount, found 162 handcount
Test#1469 Expected 126 handcount, found 125 handcount
Test#1470 Expected 326 handcount, found 325 handcount
Test#1471 Expected 12 handcount, found 11 handcount
Test#1472 Expected 9 handcount, found 8 handcount
Test#1473 Expected 10 handcount, found 9 handcount
Test#1474 Expected 11 handcount, found 10 handcount
Test#1475 Expected 4 handcount, found 3 handcount
Test#1476 Expected 4 handcount, found 3 handcount
Test#1477 Expected 10 handcount, found 9 handcount
Test#1478 Expected 8 handcount, found 7 handcount
Test#1479 Expected 7 handcount, found 6 handcount
Test#1480 Expected 333 handcount, found 332 handcount
Test#1481 Expected 10 handcount, found 9 handcount
Test#1482 Expected 4 handcount, found 3 handcount
Test#1483 Expected 163 handcount, found 162 handcount
Test#1484 Expected 126 handcount, found 125 handcount
Test#1485 Expected 326 handcount, found 325 handcount
Test#1486 Expected 12 handcount, found 11 handcount
Test#1487 Expected 9 handcount, found 8 handcount
Test#1488 Expected 10 handcount, found 9 handcount
Test#1489 Expected 11 handcount, found 10 handcount
Test#1490 Expected 4 handcount, found 3 handcount
Test#1491 Expected 4 handcount, found 3 handcount
Test#1492 Expected 10 handcount, found 9 handcount
Test#1493 Expected 8 handcount, found 7 handcount
Test#1494 Expected 7 handcount, found 6 handcount
Test#1495 Expected 333 handcount, found 332 handcount
Test#1496 Expected 10 handcount, found 9 handcount
Test#1497 Expected 4 handcount, found 3 handcount
Test#1498 Expected 163 handcount, found 162 handcount
Test#1499 Expected 126 handcount, found 125 handcount
Test#1500 Expected 326 handcount, found 325 handcount
Test#1501 Expected 12 handcount, found 11 handcount
Test#1502 Expected 9 handcount, found 8 handcount
Test#1503 Expected 10 handcount, found 9 handcount
Test#1504 Expected 11 handcount, found 10 handcount
Test#1505 Expected 4 handcount, found 3 handcount
Test#1506 Expected 4 handcount, found 3 handcount
Test#1507 Expected 10 handcount, found 9 handcount
Test#1508 Expected 8 handcount, found 7 handcount
Test#1509 Expected 7 handcount, found 6 handcount
Test#1510 Expected 333 handcount, found 332 handcount
Test#1511 Expected 10 handcount, found 9 handcount
Test#1512 Expected 4 handcount, found 3 handcount
Test#1513 Expected 163 handcount, found 162 handcount
Test#1514 Expected 126 handcount, found 125 handcount
Test#1515 Expected 326 handcount, found 325 handcount
Test#1516 Expected 12 handcount, found 11 handcount
Test#1517 Expected 9 handcount, found 8 handcount
Test#1518 Expected 10 handcount, found 9 handcount
Test#1519 Expected 11 handcount, found 10 handcount
Test#1520 Expected 4 handcount, found 3 handcount
Test#1521 Expected 4 handcount, found 3 handcount
Test#1522 Expected 10 handcount, found 9 handcount
Test#1523 Expected 8 handcount, found 7 handcount
Test#1524 Expected 7 handcount, found 6 handcount
Test#1525 Expected 333 handcount, found 332 handcount
Test#1526 Expected 10 handcount, found 9 handcount
Test#1527 Expected 4 handcount, found 3 handcount
Test#1528 Expected 163 handcount, found 162 handcount
Test#1529 Expected 126 handcount, found 125 handcount
Test#1530 Expected 326 handcount, found 325 handcount
Test#1531 Expected 12 handcount, found 11 handcount
Test#1532 Expected 9 handcount, found 8 handcount
Test#1533 Expected 10 handcount, found 9 handcount
Test#1534 Expected 11 handcount, found 10 handcount
Test#1535 Expected 4 handcount, found 3 handcount
Test#1536 Expected 4 handcount, found 3 handcount
Test#1537 Expected 10 handcount, found 9 handcount
Test#1538 Expected 8 handcount, found 7 handcount
Test#1539 Expected 7 handcount, found 6 handcount
Test#1540 Expected 333 handcount, found 332 handcount
Test#1541 Expected 10 handcount, found 9 handcount
Test#1542 Expected 4 handcount, found 3 handcount
Test#1543 Expected 163 handcount, found 162 handcount
Test#1544 Expected 126 handcount, found 125 handcount
Test#1545 Expected 326 handcount, found 325 handcount
Test#1546 Expected 12 handcount, found 11 handcount
Test#1547 Expected 9 handcount, found 8 handcount
Test#1548 Expected 10 handcount, found 9 handcount
Test#1549 Expected 11 handcount, found 10 handcount
Test#1550 Expected 4 handcount, found 3 handcount
Test#1551 Expected 4 handcount, found 3 handcount
Test#1552 Expected 10 handcount, found 9 handcount
Test#1553 Expected 8 handcount, found 7 handcount
Test#1554 Expected 7 handcount, found 6 handcount
Test#1555 Expected 333 handcount, found 332 handcount
Test#1556 Expected 10 handcount, found 9 handcount
Test#1557 Expected 4 handcount, found 3 handcount
Test#1558 Expected 163 handcount, found 162 handcount
Test#1559 Expected 126 handcount, found 125 handcount
Test#1560 Expected 326 handcount, found 325 handcount
Test#1561 Expected 12 handcount, found 11 handcount
Test#1562 Expected 9 handcount, found 8 handcount
Test#1563 Expected 10 handcount, found 9 handcount
Test#1564 Expected 11 handcount, found 10 handcount
Test#1565 Expected 4 handcount, found 3 handcount
Test#1566 Expected 4 handcount, found 3 handcount
Test#1567 Expected 10 handcount, found 9 handcount
Test#1568 Expected 8 handcount, found 7 handcount
Test#1569 Expected 7 handcount, found 6 handcount
Test#1570 Expected 333 handcount, found 332 handcount
Test#1571 Expected 10 handcount, found 9 handcount
Test#1572 Expected 4 handcount, found 3 handcount
Test#1573 Expected 163 handcount, found 162 handcount
Test#1574 Expected 126 handcount, found 125 handcount
Test#1575 Expected 326 handcount, found 325 handcount
Test#1576 Expected 12 handcount, found 11 handcount
Test#1577 Expected 9 handcount, found 8 handcount
Test#1578 Expected 10 handcount, found 9 handcount
Test#1579 Expected 11 handcount, found 10 handcount
Test#1580 Expected 4 handcount, found 3 handcount
Test#1581 Expected 4 handcount, found 3 handcount
Test#1582 Expected 10 handcount, found 9 handcount
Test#1583 Expected 8 handcount, found 7 handcount
Test#1584 Expected 7 handcount, found 6 handcount
Test#1585 Expected 333 handcount, found 332 handcount
Test#1586 Expected 10 handcount, found 9 handcount
Test#1587 Expected 4 handcount, found 3 handcount
Test#1588 Expected 163 handcount, found 162 handcount
Test#1589 Expected 126 handcount, found 125 handcount
Test#1590 Expected 326 handcount, found 325 handcount
Test#1591 Expected 12 handcount, found 11 handcount
Test#1592 Expected 9 handcount, found 8 handcount
Test#1593 Expected 10 handcount, found 9 handcount
Test#1594 Expected 11 handcount, found 10 handcount
Test#1595 Expected 4 handcount, found 3 handcount
Test#1596 Expected 4 handcount, found 3 handcount
Test#1597 Expected 10 handcount, found 9 handcount
Test#1598 Expected 8 handcount, found 7 handcount
Test#1599 Expected 7 handcount, found 6 handcount
Test#1600 Expected 333 handcount, found 332 handcount
Test#1601 Expected 10 handcount, found 9 handcount
Test#1602 Expected 4 handcount, found 3 handcount
Test#1603 Expected 163 handcount, found 162 handcount
Test#1604 Expected 126 handcount, found 125 handcount
Test#1605 Expected 326 handcount, found 325 handcount
Test#1606 Expected 12 handcount, found 11 handcount
Test#1607 Expected 9 handcount, found 8 handcount
Test#1608 Expected 10 handcount, found 9 handcount
Test#1609 Expected 11 handcount, found 10 handcount
Test#1610 Expected 4 handcount, found 3 handcount
Test#1611 Expected 4 handcount, found 3 handcount
Test#1612 Expected 10 handcount, found 9 handcount
Test#1613 Expected 8 handcount, found 7 handcount
Test#1614 Expected 7 handcount, found 6 handcount
Test#1615 Expected 333 handcount, found 332 handcount
Test#1616 Expected 10 handcount, found 9 handcount
Test#1617 Expected 4 handcount, found 3 handcount
Test#1618 Expected 163 handcount, found 162 handcount
Test#1619 Expected 126 handcount, found 125 handcount
Test#1620 Expected 326 handcount, found 325 handcount
Test#1621 Expected 12 handcount, found 11 handcount
Test#1622 Expected 9 handcount, found 8 handcount
Test#1623 Expected 10 handcount, found 9 handcount
Test#1624 Expected 11 handcount, found 10 handcount
Test#1625 Expected 4 handcount, found 3 handcount
Test#1626 Expected 4 handcount, found 3 handcount
Test#1627 Expected 10 handcount, found 9 handcount
Test#1628 Expected 8 handcount, found 7 handcount
Test#1629 Expected 7 handcount, found 6 handcount
Test#1630 Expected 333 handcount, found 332 handcount
Test#1631 Expected 10 handcount, found 9 handcount
Test#1632 Expected 4 handcount, found 3 handcount
Test#1633 Expected 163 handcount, found 162 handcount
Test#1634 Expected 126 handcount, found 125 handcount
Test#1635 Expected 326 handcount, found 325 handcount
Test#1636 Expected 12 handcount, found 11 handcount
Test#1637 Expected 9 handcount, found 8 handcount
Test#1638 Expected 10 handcount, found 9 handcount
Test#1639 Expected 11 handcount, found 10 handcount
Test#1640 Expected 4 handcount, found 3 handcount
Test#1641 Expected 4 handcount, found 3 handcount
Test#1642 Expected 10 handcount, found 9 handcount
Test#1643 Expected 8 handcount, found 7 handcount
Test#1644 Expected 7 handcount, found 6 handcount
Test#1645 Expected 333 handcount, found 332 handcount
Test#1646 Expected 10 handcount, found 9 handcount
Test#1647 Expected 4 handcount, found 3 handcount
Test#1648 Expected 163 handcount, found 162 handcount
Test#1649 Expected 126 handcount, found 125 handcount
Test#1650 Expected 326 handcount, found 325 handcount
Test#1651 Expected 12 handcount, found 11 handcount
Test#1652 Expected 9 handcount, found 8 handcount
Test#1653 Expected 10 handcount, found 9 handcount
Test#1654 Expected 11 handcount, found 10 handcount
Test#1655 Expected 4 handcount, found 3 handcount
Test#1656 Expected 4 handcount, found 3 handcount
Test#1657 Expected 10 handcount, found 9 handcount
Test#1658 Expected 8 handcount, found 7 handcount
Test#1659 Expected 7 handcount, found 6 handcount
Test#1660 Expected 333 handcount, found 332 handcount
Test#1661 Expected 10 handcount, found 9 handcount
Test#1662 Expected 4 handcount, found 3 handcount
Test#1663 Expected 163 handcount, found 162 handcount
Test#1664 Expected 126 handcount, found 125 handcount
Test#1665 Expected 326 handcount, found 325 handcount
Test#1666 Expected 12 handcount, found 11 handcount
Test#1667 Expected 9 handcount, found 8 handcount
Test#1668 Expected 10 handcount, found 9 handcount
Test#1669 Expected 11 handcount, found 10 handcount
Test#1670 Expected 4 handcount, found 3 handcount
Test#1671 Expected 4 handcount, found 3 handcount
Test#1672 Expected 10 handcount, found 9 handcount
Test#1673 Expected 8 handcount, found 7 handcount
Test#1674 Expected 7 handcount, found 6 handcount
Test#1675 Expected 333 handcount, found 332 handcount
Test#1676 Expected 10 handcount, found 9 handcount
Test#1677 Expected 4 handcount, found 3 handcount
Test#1678 Expected 163 handcount, found 162 handcount
Test#1679 Expected 126 handcount, found 125 handcount
Test#1680 Expected 326 handcount, found 325 handcount
Test#1681 Expected 12 handcount, found 11 handcount
Test#1682 Expected 9 handcount, found 8 handcount
Test#1683 Expected 10 handcount, found 9 handcount
Test#1684 Expected 11 handcount, found 10 handcount
Test#1685 Expected 4 handcount, found 3 handcount
Test#1686 Expected 4 handcount, found 3 handcount
Test#1687 Expected 10 handcount, found 9 handcount
Test#1688 Expected 8 handcount, found 7 handcount
Test#1689 Expected 7 handcount, found 6 handcount
Test#1690 Expected 333 handcount, found 332 handcount
Test#1691 Expected 10 handcount, found 9 handcount
Test#1692 Expected 4 handcount, found 3 handcount
Test#1693 Expected 163 handcount, found 162 handcount
Test#1694 Expected 126 handcount, found 125 handcount
Test#1695 Expected 326 handcount, found 325 handcount
Test#1696 Expected 12 handcount, found 11 handcount
Test#1697 Expected 9 handcount, found 8 handcount
Test#1698 Expected 10 handcount, found 9 handcount
Test#1699 Expected 11 handcount, found 10 handcount
Test#1700 Expected 4 handcount, found 3 handcount
Test#1701 Expected 4 handcount, found 3 handcount
Test#1702 Expected 10 handcount, found 9 handcount
Test#1703 Expected 8 handcount, found 7 handcount
Test#1704 Expected 7 handcount, found 6 handcount
Test#1705 Expected 333 handcount, found 332 handcount
Test#1706 Expected 10 handcount, found 9 handcount
Test#1707 Expected 4 handcount, found 3 handcount
Test#1708 Expected 163 handcount, found 162 handcount
Test#1709 Expected 126 handcount, found 125 handcount
Test#1710 Expected 326 handcount, found 325 handcount
Test#1711 Expected 12 handcount, found 11 handcount
Test#1712 Expected 9 handcount, found 8 handcount
Test#1713 Expected 10 handcount, found 9 handcount
Test#1714 Expected 11 handcount, found 10 handcount
Test#1715 Expected 4 handcount, found 3 handcount
Test#1716 Expected 4 handcount, found 3 handcount
Test#1717 Expected 10 handcount, found 9 handcount
Test#1718 Expected 8 handcount, found 7 handcount
Test#1719 Expected 7 handcount, found 6 handcount
Test#1720 Expected 333 handcount, found 332 handcount
Test#1721 Expected 10 handcount, found 9 handcount
Test#1722 Expected 4 handcount, found 3 handcount
Test#1723 Expected 163 handcount, found 162 handcount
Test#1724 Expected 126 handcount, found 125 handcount
Test#1725 Expected 326 handcount, found 325 handcount
Test#1726 Expected 12 handcount, found 11 handcount
Test#1727 Expected 9 handcount, found 8 handcount
Test#1728 Expected 10 handcount, found 9 handcount
Test#1729 Expected 11 handcount, found 10 handcount
Test#1730 Expected 4 handcount, found 3 handcount
Test#1731 Expected 4 handcount, found 3 handcount
Test#1732 Expected 10 handcount, found 9 handcount
Test#1733 Expected 8 handcount, found 7 handcount
Test#1734 Expected 7 handcount, found 6 handcount
Test#1735 Expected 333 handcount, found 332 handcount
Test#1736 Expected 10 handcount, found 9 handcount
Test#1737 Expected 4 handcount, found 3 handcount
Test#1738 Expected 163 handcount, found 162 handcount
Test#1739 Expected 126 handcount, found 125 handcount
Test#1740 Expected 326 handcount, found 325 handcount
Test#1741 Expected 12 handcount, found 11 handcount
Test#1742 Expected 9 handcount, found 8 handcount
Test#1743 Expected 10 handcount, found 9 handcount
Test#1744 Expected 11 handcount, found 10 handcount
Test#1745 Expected 4 handcount, found 3 handcount
Test#1746 Expected 4 handcount, found 3 handcount
Test#1747 Expected 10 handcount, found 9 handcount
Test#1748 Expected 8 handcount, found 7 handcount
Test#1749 Expected 7 handcount, found 6 handcount
Test#1750 Expected 333 handcount, found 332 handcount
Test#1751 Expected 10 handcount, found 9 handcount
Test#1752 Expected 4 handcount, found 3 handcount
Test#1753 Expected 163 handcount, found 162 handcount
Test#1754 Expected 126 handcount, found 125 handcount
Test#1755 Expected 326 handcount, found 325 handcount
Test#1756 Expected 12 handcount, found 11 handcount
Test#1757 Expected 9 handcount, found 8 handcount
Test#1758 Expected 10 handcount, found 9 handcount
Test#1759 Expected 11 handcount, found 10 handcount
Test#1760 Expected 4 handcount, found 3 handcount
Test#1761 Expected 4 handcount, found 3 handcount
Test#1762 Expected 10 handcount, found 9 handcount
Test#1763 Expected 8 handcount, found 7 handcount
Test#1764 Expected 7 handcount, found 6 handcount
Test#1765 Expected 333 handcount, found 332 handcount
Test#1766 Expected 10 handcount, found 9 handcount
Test#1767 Expected 4 handcount, found 3 handcount
Test#1768 Expected 163 handcount, found 162 handcount
Test#1769 Expected 126 handcount, found 125 handcount
Test#1770 Expected 326 handcount, found 325 handcount
Test#1771 Expected 12 handcount, found 11 handcount
Test#1772 Expected 9 handcount, found 8 handcount
Test#1773 Expected 10 handcount, found 9 handcount
Test#1774 Expected 11 handcount, found 10 handcount
Test#1775 Expected 4 handcount, found 3 handcount
Test#1776 Expected 4 handcount, found 3 handcount
Test#1777 Expected 10 handcount, found 9 handcount
Test#1778 Expected 8 handcount, found 7 handcount
Test#1779 Expected 7 handcount, found 6 handcount
Test#1780 Expected 333 handcount, found 332 handcount
Test#1781 Expected 10 handcount, found 9 handcount
Test#1782 Expected 4 handcount, found 3 handcount
